frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.5,-0.9707549438707019,-0.000951638258982257,0.000951638258982257,0.0,0.9692457575277444,0.967736571184787,10.004248811050388,10.97254293031915,22.126472264989474,0.0,0.9692457575277444,0.967736571184787,10.003209850436491,3.8739550495754145,10.97254293031915,3.8739553198170427,10.970893600264588,8.716353256389624,8.716353256353727,13.87725095038266,13.877250644183903,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.49,-0.9607631237531109,-0.000949260726031298,0.000949260726031298,0.0,1.0165998600606372,1.0724365963681635,10.004248811050388,11.019899410384994,22.126472264989474,0.0,1.0165998600606372,1.0724365963681635,10.003218703309841,3.9353399499595128,11.019899410384994,3.9353793659329597,11.075588262509882,8.775459049619457,8.77545904882706,13.938672452133716,13.93863411078354,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.48,-0.9316953615816885,-0.0009422523004332106,0.0009422523004332106,0.0,1.133555260183698,1.3354151587857075,10.004248811050388,11.136861818933653,22.126472264989474,0.0,1.133555260183698,1.3354151587857075,10.003240063291372,4.093820734095942,11.136861818933653,4.09459150469911,11.338556128519173,8.927372116611224,8.927372293435383,14.09787678559934,14.097110715472496,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.47,-0.8861609275514866,-0.0009309575886504717,0.0009309575886504717,0.0,1.281742266414625,1.6773236052777634,10.004248811050388,11.285060119876363,22.126472264989474,0.0,1.281742266414625,1.6773236052777634,10.003267364645467,4.309408750978207,11.285060119876363,4.313370299974167,11.680455674775459,9.132870568123053,9.132873044431307,14.316642037821993,14.312692146575017,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.46,-0.828142298949814,-0.0009158695260680361,0.0009158695260680361,0.0,1.439123817262356,2.050105335574898,10.004248811050388,11.442456758786676,22.126472264989474,0.0,1.439123817262356,2.050105335574898,10.003297974197494,4.557615757762505,11.442456758786676,4.569924455787287,12.05323385768287,9.36861727566324,9.368631895141988,14.573176262494968,14.560890650628608,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.45,-0.7624853014313544,-0.0008975398518487054,0.0008975398518487054,0.0,1.5958599679570966,2.429234634482839,10.004248811050388,11.599211239155636,22.126472264989474,0.0,1.5958599679570966,2.429234634482839,10.003331934245494,4.8256108816163135,11.599211239155636,4.8546782964182,12.43236663900825,9.6231660498199,9.623221904368023,14.85790320103203,14.828875912670213,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.44,-0.694256751651352,-0.0008764978898341269,0.0008764978898341269,0.0,1.747784616251863,2.801312480852374,10.004248811050388,11.751156929412417,22.126472264989474,0.0,1.747784616251863,2.801312480852374,10.00338150392895,5.163537095131375,11.751156929412417,5.10599120825168,12.804455654799284,9.890579649293016,9.890733928407883,15.10924557503077,15.1667279404505,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.43,-0.6280537596807108,-0.0008531902249728773,0.0008531902249728773,0.0,1.8932571164104672,3.1584604731402237,10.004248811050388,11.896652737235883,22.126472264989474,0.0,1.8932571164104672,3.1584604731402237,10.003372244690695,5.494403749594653,11.896652737235883,5.3938777341201956,13.161622194821518,10.1673974571749,10.167851687673533,15.397121145003183,15.497553889018093,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.42,-0.5674076674006017,-0.0008279391896053312,0.0008279391896053312,0.0,2.031795190366381,3.4961827133321606,10.004248811050388,12.035216062227164,22.126472264989474,0.0,2.031795190366381,3.4961827133321606,10.003416256313983,5.845465172977214,12.035216062227164,5.685721607381339,13.499369105563545,10.451349214345726,10.452300801917204,15.688954216600393,15.8485692414109,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.41000000000000003,-0.5144522072308746,-0.0008009068299941191,0.0008009068299941191,0.0,2.1634547843665075,3.8124573615021404,10.004248811050388,12.166902688586902,22.126472264989474,0.0,2.1634547843665075,3.8124573615021404,10.003452205851573,6.214387755899679,12.166902688586902,5.978788213598534,13.815672636279885,10.74078213846633,10.742643282276475,15.982010554592478,16.21744215791628,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
