frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.4997368276115887,crossing,1,2,unlabeled,unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.49971235048062734,crossing,5,7,unlabeled,unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.4899553871960933,crossing,8,9,unlabeled,unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.44664461859538634,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.44664400106709384,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.43593516445530267,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.4359251869475979,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.3374779812035083,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.3352379951658162,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.3140299247965685,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.24442260422671544,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.24436674303054423,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.17613394932025234,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.16508694104911026,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.08857752922088702,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.08857752922088177,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.16508694104914087,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.17613394932021872,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.24436674303054842,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.24442260422671958,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.3140299247965385,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.3352379951657988,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.3374779812035082,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.4359251869475578,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.4359351644553172,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.4466440010670282,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.44664461859568805,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.48995538240985553,crossing,8,9,unlabeled,unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.49971235048059337,crossing,5,7,unlabeled,unlabeled,0.0
10.0,4.0,0.063206,3.9751100613693704,0.5,0.49973682761163285,crossing,1,2,unlabeled,unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.4996992662322677,crossing,1,2,unlabeled,unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.4996712932973493,crossing,5,7,unlabeled,unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.4899115233259478,crossing,8,9,unlabeled,unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.44664571693851396,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.44664500958875836,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.43595039145125797,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.43594047445824086,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.33747691844314204,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.3352401412994006,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.3140199187195043,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.2444161788341181,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.24435730086974086,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.17609819086216957,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.16505756946535297,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,-0.08853863373532676,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.0885386337351241,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.16505756946530767,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.17609819086210265,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.24435730086974677,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.244416178834077,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.31401991871949647,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.3352401412993363,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.3374769184431878,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.4359404744582501,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.43595039145126474,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.4466450095887649,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.4466457169386474,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.48991152694912127,crossing,8,9,unlabeled,unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.49967129329747895,crossing,5,7,unlabeled,unlabeled,0.0
10.0,3.5,0.072232,4.542875112273536,0.5,0.49969926623235494,crossing,1,2,unlabeled,unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,-0.4996493357839877,crossing,1,2,unlabeled,unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,-0.49961672020334685,crossing,5,7,unlabeled,unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,-0.48984442918300386,crossing,8,9,unlabeled,unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,-0.446647178556972,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,-0.44664635126097635,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,-0.43590390918090816,crossing,3,9,"|0,1>",unlabeled,0.0
