frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
6.922,4.0,0.132045,5.74554174991358,0.5,-0.49943621694560986,crossing,1,3,unlabeled,unlabeled,0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.49936179244295703,crossing,4,6,unlabeled,unlabeled,0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.44665381169190616,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.44665188258085203,crossing,5,7,"|2,1>","|3,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.4182577173832854,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.41313557638293225,crossing,6,11,"|0,2>","|4,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.41000000000000003,avoided,6,10,"|0,2>","|5,0>",0.018460330697919858
6.922,4.0,0.132045,5.74554174991358,0.5,-0.4058145474456093,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.3917728829503339,crossing,2,5,"|0,1>","|2,1>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.38,avoided,6,10,"|0,2>","|5,0>",0.01656659871365207
6.922,4.0,0.132045,5.74554174991358,0.5,-0.3772151732654123,crossing,2,7,"|0,1>","|3,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.3772112780713684,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.32566896084882796,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.31160308463511754,crossing,4,5,"|1,1>","|2,1>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.3086106453639496,crossing,6,8,"|0,2>",unlabeled,0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.3049966913733477,crossing,8,10,unlabeled,"|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.27545518549411563,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.25251332581634695,crossing,8,11,unlabeled,"|4,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.2472853358423949,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.22529807219192122,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.1933570094513699,crossing,4,7,"|1,1>","|3,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.17472064027084297,crossing,5,8,"|2,1>",unlabeled,0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.16999999999999998,avoided,6,9,"|0,2>","|3,1>",0.03375583249861336
6.922,4.0,0.132045,5.74554174991358,0.5,-0.10250899838145101,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,-0.06,avoided,5,11,"|2,1>","|4,0>",0.01778157492630328
6.922,4.0,0.132045,5.74554174991358,0.5,0.06000000000000005,avoided,5,11,"|2,1>","|4,0>",0.017781574926260646
6.922,4.0,0.132045,5.74554174991358,0.5,0.10250899838158983,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.17000000000000004,avoided,6,9,"|0,2>","|3,1>",0.03375583249962233
6.922,4.0,0.132045,5.74554174991358,0.5,0.17472064027082268,crossing,5,8,"|2,1>",unlabeled,0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.19335700945127163,crossing,4,7,"|1,1>","|3,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.2252980721919199,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.24728533584206178,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.2525133258164785,crossing,8,11,unlabeled,"|4,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.275455185494119,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.3049966913733335,crossing,8,10,unlabeled,"|5,0>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.3086106453639399,crossing,6,8,"|0,2>",unlabeled,0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.31160308463510716,crossing,4,5,"|1,1>","|2,1>",0.0
6.922,4.0,0.132045,5.74554174991358,0.5,0.32566896084881475,crossing,6,10,"|0,2>","|5,0>",0.0
