beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.4997584743764901,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.4997517184440887,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.44664377466910155,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.44664360375931517,crossing,5,8,"|4,0>","|3,0>",0.0
0.1,-0.41793517299192606,crossing,10,11,"|5,0>","|2,1>",0.0
0.1,-0.4058138064427095,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.4045369266063753,crossing,7,11,"|1,2>","|2,1>",0.0
0.1,-0.3915500341908772,crossing,2,5,"|0,1>","|4,0>",0.0
0.1,-0.39,avoided,7,10,"|1,2>","|5,0>",0.007593314218979685
0.1,-0.3769306396270663,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.376930419840509,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.3256903422301524,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.3114204577275621,crossing,4,5,"|1,1>","|4,0>",0.0
0.1,-0.30816080580294963,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,-0.3045360598545118,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,-0.27545721244472887,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.2475986407158288,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24750266153339276,crossing,6,11,"|0,2>","|2,1>",0.0
0.1,-0.225298356535222,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.19153850784455773,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.1740373065404094,crossing,5,6,"|4,0>","|0,2>",0.0
0.1,-0.16999999999999998,avoided,7,9,"|1,2>","|3,1>",0.049629832454286316
0.1,-0.10103203176782737,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.05594190772138617,crossing,5,11,"|4,0>","|2,1>",0.0
0.1,0.05594190772147617,crossing,5,11,"|4,0>","|2,1>",0.0
0.1,0.10103203176790611,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.17000000000000004,avoided,7,9,"|1,2>","|3,1>",0.04962983245434316
0.1,0.1740373065403433,crossing,5,6,"|4,0>","|0,2>",0.0
0.1,0.19153850784435644,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.22529835653523456,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.2475026615329573,crossing,6,11,"|0,2>","|2,1>",0.0
0.1,0.24759864071553458,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.27545721244469834,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.3045360598545317,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,0.3081608058030002,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,0.31142045772754934,crossing,4,5,"|1,1>","|4,0>",0.0
0.1,0.3256903422301757,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.3769304198405351,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,0.3769306396270853,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.39,avoided,7,10,"|1,2>","|5,0>",0.007593314219093372
0.1,0.3915500341908446,crossing,2,5,"|0,1>","|4,0>",0.0
0.1,0.40453692660632307,crossing,7,11,"|1,2>","|2,1>",0.0
0.1,0.405813806442707,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.417935172991674,crossing,10,11,"|5,0>","|2,1>",0.0
0.1,0.44664360375909357,crossing,5,8,"|4,0>","|3,0>",0.0
0.1,0.4466437746690966,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.49975171844415694,crossing,4,7,unlabeled,unlabeled,0.0
0.1,0.499758474376359,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4995095099616286,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49948249997348815,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.44665098823927446,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.44665029313756954,crossing,5,8,"|2,1>","|3,0>",0.0
0.2,-0.4169730065736363,crossing,10,11,"|5,0>","|4,0>",0.0
0.2,-0.413090730885463,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.40581518651278964,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.4,avoided,10,11,"|5,0>","|4,0>",0.010512235196955544
0.2,-0.3915068745259701,crossing,2,5,"|0,1>","|2,1>",0.0
0.2,-0.39,avoided,7,10,"|3,1>","|5,0>",0.012067928097124536
0.2,-0.3768928166707357,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.37689192454105674,crossing,2,8,"|0,1>","|3,0>",0.0
0.2,-0.32568428364768026,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.3112714705436553,crossing,4,5,"|1,1>","|2,1>",0.0
0.2,-0.30805725815422397,crossing,6,10,"|0,2>","|5,0>",0.0
0.2,-0.3044275787028729,crossing,6,7,"|0,2>","|3,1>",0.0
0.2,-0.27545699021605824,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.24723931550723915,crossing,2,3,"|0,1>","|2,0>",0.0
0.2,-0.24698727995126077,crossing,6,11,"|0,2>","|4,0>",0.0
0.2,-0.22529856276986274,crossing,7,10,"|3,1>","|5,0>",0.0
