beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.10000000000000002,-0.4999279985201691,crossing,1,2,unlabeled,unlabeled,0.0
0.10000000000000002,-0.4999266083957299,crossing,5,7,unlabeled,unlabeled,0.0
0.10000000000000002,-0.4466389826729536,crossing,10,11,"|0,2>","|6,0>",0.0
0.10000000000000002,-0.446638948016847,crossing,4,6,"|4,0>","|3,0>",0.0
0.10000000000000002,-0.4358117138139377,crossing,3,9,"|0,1>",unlabeled,0.0
0.10000000000000002,-0.43580140633191283,crossing,3,8,"|0,1>","|5,0>",0.0
0.10000000000000002,-0.3374203404925031,crossing,5,9,"|1,1>",unlabeled,0.0
0.10000000000000002,-0.3351582264575758,crossing,5,8,"|1,1>","|5,0>",0.0
0.10000000000000002,-0.3140311103128988,crossing,3,4,"|0,1>","|4,0>",0.0
0.10000000000000002,-0.2443657477954901,crossing,3,6,"|0,1>","|3,0>",0.0
0.10000000000000002,-0.24436351535776873,crossing,10,11,"|0,2>","|6,0>",0.0
0.10000000000000002,-0.17621182998190513,crossing,7,9,"|2,1>",unlabeled,0.0
0.10000000000000002,-0.1651030079001958,crossing,4,5,"|4,0>","|1,1>",0.0
0.10000000000000002,-0.08845485876775182,crossing,7,8,"|2,1>","|5,0>",0.0
0.10000000000000002,0.0884548587672989,crossing,7,8,"|2,1>","|5,0>",0.0
0.10000000000000002,0.1651030079001365,crossing,4,5,"|4,0>","|1,1>",0.0
0.10000000000000002,0.1762118299817251,crossing,7,9,"|2,1>",unlabeled,0.0
0.10000000000000002,0.24436351535766782,crossing,10,11,"|0,2>","|6,0>",0.0
0.10000000000000002,0.24436574779544132,crossing,3,6,"|0,1>","|3,0>",0.0
0.10000000000000002,0.3140311103128248,crossing,3,4,"|0,1>","|4,0>",0.0
0.10000000000000002,0.33515822645756094,crossing,5,8,"|1,1>","|5,0>",0.0
0.10000000000000002,0.3374203404925553,crossing,5,9,"|1,1>",unlabeled,0.0
0.10000000000000002,0.43580140633193104,crossing,3,8,"|0,1>","|5,0>",0.0
0.10000000000000002,0.4358117138139405,crossing,3,9,"|0,1>",unlabeled,0.0
0.10000000000000002,0.44663894801657456,crossing,4,6,"|4,0>","|3,0>",0.0
0.10000000000000002,0.44663898267273333,crossing,10,11,"|0,2>","|6,0>",0.0
0.10000000000000002,0.49992660839605196,crossing,5,7,unlabeled,unlabeled,0.0
0.10000000000000002,0.499927998520317,crossing,1,2,unlabeled,unlabeled,0.0
0.20000000000000004,-0.4999795002822425,crossing,8,9,unlabeled,unlabeled,0.0
0.20000000000000004,-0.49985446979083553,crossing,1,2,unlabeled,unlabeled,0.0
0.20000000000000004,-0.4998489072990442,crossing,5,7,unlabeled,unlabeled,0.0
0.20000000000000004,-0.44664109181088396,crossing,10,11,"|0,2>","|6,0>",0.0
0.20000000000000004,-0.44664095252315156,crossing,4,6,"|4,0>","|3,0>",0.0
0.20000000000000004,-0.4358242570992118,crossing,3,9,"|0,1>",unlabeled,0.0
0.20000000000000004,-0.43581403971732935,crossing,3,8,"|0,1>","|5,0>",0.0
0.20000000000000004,-0.33738236079967326,crossing,5,9,"|1,1>",unlabeled,0.0
0.20000000000000004,-0.3351248125031838,crossing,5,8,"|1,1>","|5,0>",0.0
0.20000000000000004,-0.31397145115518416,crossing,3,4,"|0,1>","|4,0>",0.0
0.20000000000000004,-0.24428978922223646,crossing,3,6,"|0,1>","|3,0>",0.0
0.20000000000000004,-0.24428085484119125,crossing,10,11,"|0,2>","|6,0>",0.0
0.20000000000000004,-0.17604512774789463,crossing,7,9,"|2,1>",unlabeled,0.0
0.20000000000000004,-0.16493972268052115,crossing,4,5,"|4,0>","|1,1>",0.0
0.20000000000000004,-0.08814886112653512,crossing,7,8,"|2,1>","|5,0>",0.0
0.20000000000000004,0.08814886112652526,crossing,7,8,"|2,1>","|5,0>",0.0
0.20000000000000004,0.16493972268054427,crossing,4,5,"|4,0>","|1,1>",0.0
