beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49935567935390235,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.4993376988371921,crossing,4,8,unlabeled,unlabeled,0.0
0.1,-0.44665511340052155,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.4466546464627657,crossing,5,7,"|2,1>","|3,0>",0.0
0.1,-0.4058165072831361,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.40450710392911804,crossing,8,10,"|3,1>","|4,0>",0.0
0.1,-0.39112208090099226,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,-0.38,avoided,8,11,"|3,1>","|5,0>",0.011591888012304707
0.1,-0.37638905955219654,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.3763885609230531,crossing,2,7,"|0,1>","|3,0>",0.0
0.1,-0.31070270572164393,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,-0.30713359559273506,crossing,6,11,"|0,2>","|5,0>",0.0
0.1,-0.3034389974694307,crossing,6,8,"|0,2>","|3,1>",0.0
0.1,-0.2462735509233975,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24617621974740317,crossing,6,10,"|0,2>","|4,0>",0.0
0.1,-0.18788338957969555,crossing,4,7,"|1,1>","|3,0>",0.0
0.1,-0.17234229116491123,crossing,9,11,"|1,2>","|5,0>",0.0
0.1,-0.1720777006524999,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,-0.09686820906795207,crossing,8,9,"|3,1>","|1,2>",0.0
0.1,-0.04999999999999999,avoided,5,10,"|2,1>","|4,0>",0.007154549276620514
0.1,0.050000000000000044,avoided,5,10,"|2,1>","|4,0>",0.007154549276265243
0.1,0.09686820906799862,crossing,8,9,"|3,1>","|1,2>",0.0
0.1,0.17207770065248032,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,0.17234229116490393,crossing,9,11,"|1,2>","|5,0>",0.0
0.1,0.18788338957984202,crossing,4,7,"|1,1>","|3,0>",0.0
0.1,0.24617621974731016,crossing,6,10,"|0,2>","|4,0>",0.0
0.1,0.24627355092321934,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.30343899746938624,crossing,6,8,"|0,2>","|3,1>",0.0
0.1,0.30713359559269593,crossing,6,11,"|0,2>","|5,0>",0.0
0.1,0.3107027057216196,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,0.37638856092308154,crossing,2,7,"|0,1>","|3,0>",0.0
0.1,0.3763890595521608,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.38,avoided,8,11,"|3,1>","|5,0>",0.011591888012034701
0.1,0.3911220809009962,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,0.40450710392896033,crossing,8,10,"|3,1>","|4,0>",0.0
0.1,0.40581650728314006,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.4466546464628208,crossing,5,7,"|2,1>","|3,0>",0.0
0.1,0.44665511340054265,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.49933769883723955,crossing,4,8,unlabeled,unlabeled,0.0
0.1,0.4993556793538999,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4986935989081838,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49862176691103405,crossing,5,8,unlabeled,unlabeled,0.0
0.2,-0.49568389377248334,crossing,6,9,unlabeled,unlabeled,0.0
0.2,-0.4946464809444204,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.4898466781275226,crossing,6,9,unlabeled,unlabeled,0.0
0.2,-0.44667487761206937,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.446672923075229,crossing,4,7,"|2,1>","|3,0>",0.0
0.2,-0.4288559741013639,crossing,10,11,"|5,0>","|4,0>",0.0
