beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
0.1,-0.5,-0.9719581558739634,-0.00014309644720356118,0.00014309644720356118,0.0,0.9696524122026062,0.9673466685312491,6.932494297674069,7.902003613429471,13.864988590958376,0.0,0.9696524122026062,6.932300638348991,0.9673466685312491,7.902003613429471,3.8739846254123904,10.806415243290175,7.899633481534536,3.8739852749152703,10.806414588355452,8.71637220366675,8.716372203745593,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.49,-0.9619783168050446,-0.00014338714137807074,0.00014338714137807074,0.0,1.0169346174918132,1.0718909181785818,6.932494297674069,7.949285528024504,13.864988590958376,0.0,1.0169346174918132,6.932302460083832,1.0718909181785818,7.949285528024504,3.935271304190337,10.867732576760304,8.004176058026033,3.935303956562805,10.867700415686116,8.775383521705805,8.775383579009784,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.48,-0.9329431057280999,-0.00014407712973252274,0.00014407712973252274,0.0,1.1337325822327244,1.334522058737349,6.932494297674069,8.06608280277706,13.864988590958376,0.0,1.1337325822327244,6.932306952307954,1.334522058737349,8.06608280277706,4.093517631091075,11.026682329216541,8.266802647953455,4.0942578339698485,11.025944261593963,8.92707218334094,8.927073430295422,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.47,-0.8874523092971884,-0.00014471652325198647,0.00014471652325198647,0.0,1.281746583386436,1.6760408574756838,6.932494297674069,8.214096164537253,13.864988590958376,0.0,1.281746583386436,6.932312883383659,1.6760408574756838,8.214096164537253,4.308810361422189,11.2451116185605,8.608313339018878,4.312694243661824,11.241233083567877,9.132288472076766,9.132296775932886,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.46,-0.8294748341149187,-0.00014479883566309582,0.00014479883566309582,0.0,1.4389646106032643,2.04845438709161,6.932494297674069,8.37131410944167,13.864988590958376,0.0,1.4389646106032643,6.932319739211991,2.04845438709161,8.37131410944167,4.556694154851442,11.501252364631597,8.980710774373406,4.5688453908118305,11.489111826739418,9.367723693903315,9.36775878527817,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.45,-0.7638419483541554,-0.00014394024537978112,0.00014394024537978112,0.0,1.5955518815285217,2.427261814702888,6.932494297674069,8.52790223895721,13.864988590958376,0.0,1.5955518815285217,6.932327371805741,2.427261814702888,8.52790223895721,4.824352242034507,11.785533063396173,9.359481331099701,4.853140002311889,11.756764035817312,9.62194098480147,9.622056586871295,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|1,2>","|3,0>","|3,1>","|5,0>","|4,0>"
0.1,-0.44,-0.6956086578517073,-0.00014194880149887013,0.00014194880149887013,0.0,1.7473418080045917,2.799074958157476,6.932494297674069,8.679694156877162,13.864988590958376,0.0,1.7473418080045917,6.9323358066896645,2.799074958157476,8.679694156877162,5.161484886770808,12.036795462347172,9.731198465728497,5.104390078043366,12.093860486509513,9.889007123692025,9.889336245686422,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|1,2>","|3,0>","|3,1>","|5,0>","|4,0>"
0.1,-0.43,-0.6293663934715568,-0.00013880131491816883,0.00013880131491816883,0.0,1.892691828819352,3.156017264167147,6.932494297674069,8.825047325178502,13.864988590958376,0.0,1.892691828819352,6.9323452579736085,3.156017264167147,8.825047325178502,5.491787976391365,12.324333400570652,10.0878393807305,5.391934706949954,12.424142778714085,10.165464070265855,10.166355327949077,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|1,2>","|3,0>","|3,1>","|5,0>","|4,0>"
0.1,-0.42,-0.5686485198791758,-0.00013458229923912768,0.00013458229923912768,0.0,2.031117583010797,3.4935866461424183,6.932494297674069,8.963477298385627,13.864988590958376,0.0,2.031117583010797,6.93235636311293,3.4935866461424183,8.963477298385627,5.842246727044142,12.615833767870868,10.42400602713542,5.683441853643529,12.774577606813224,10.449043748398552,10.451848183816935,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|1,2>","|3,0>","|3,1>","|5,0>","|4,0>"
0.1,-0.41000000000000003,-0.5155972307703536,-0.0001294253118544475,0.0001294253118544475,0.0,2.1626731658478064,3.8097491009252593,6.932494297674069,9.09503803821002,13.864988590958376,0.0,2.1626731658478064,6.932371251133404,3.8097491009252593,9.09503803821002,6.210541515694416,12.908565484909218,10.733085476026176,5.976180303125645,13.142844306298855,10.748894277004524,10.738095500396014,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|1,2>","|3,0>","|3,1>","|5,0>","|4,0>"
