beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.4995167689073892,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.49950326673521506,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.4466505629841995,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.4466502159449228,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,-0.417912484511302,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,-0.40581544611837744,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.40464862541754565,crossing,7,11,"|1,2>","|4,0>",0.0
0.1,-0.3913621035558494,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,-0.39,avoided,7,10,"|1,2>","|5,0>",0.00972484121216155
0.1,-0.3767083877429757,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.3767079707497929,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.32568887078060416,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.3110825928896325,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,-0.30773051089041775,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,-0.3040818928167605,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,-0.2754575386781237,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.24700559466150182,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24688082961822583,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,-0.2252987228275912,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.19160603866703815,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.1731643822957729,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,-0.16999999999999998,avoided,7,9,"|1,2>","|3,1>",0.06649043521397857
0.1,-0.09927295302247187,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.05340911586787589,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.05340911586792982,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.0992729530223938,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.17000000000000004,avoided,7,9,"|1,2>","|3,1>",0.06649043521407805
0.1,0.17316438229573067,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,0.19160603866681025,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.22529872282759228,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.24688082961797686,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,0.24700559466127117,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.27545753867810224,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.30408189281677545,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,0.30773051089043446,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,0.31108259288964635,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,0.32568887078057523,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.37670797074981593,crossing,2,8,"|0,1>","|3,0>",0.0
