beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
0.005,-0.49994967989192446,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.4999496082859155,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.40641709380370006,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,-0.405,avoided,6,9,"|3,1>","|4,1>",0.0017271684804995857,1.7271684804995857
0.005,-0.40317342826487723,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,-0.39178861857355607,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.37723719247741105,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.31188015889541393,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.30517613910738417,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.005,-0.24845264208605683,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,-0.24845194030563741,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.1920329019746959,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.17526017918048736,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.005,-0.06011409659968814,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.060114096595393025,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.1752601791802647,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.005,0.1920329019748356,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,0.24845194030513232,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,0.24845264208591628,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,0.30517613910800656,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.005,0.3118801588954058,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,0.37723719247760384,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,0.39178861857357633,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,0.40317342827301395,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,0.405,avoided,6,9,"|3,1>","|4,1>",0.0017271684874344828,1.7271684874344828
0.005,0.4064170937960592,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,0.49994960828394774,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,0.4999496798915333,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.4998992297378554,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.49989894330882334,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,-0.40601301397867817,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.01,-0.405,avoided,6,9,"|3,1>","|4,1>",0.002361413211076524,2.361413211076524
0.01,-0.39175311286485315,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,-0.3771993757820637,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,-0.3118108700554186,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,-0.30508180737181184,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.01,-0.2483539233860455,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.01,-0.2483514881740855,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,-0.19189158712649404,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,-0.1750989529794215,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.01,-0.059406617155073685,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.01,0.05940661715569348,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.01,0.1750989529792043,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.01,0.1918915871265296,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,0.24835148817363198,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,0.24835392338581494,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.01,0.3050818073716198,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.01,0.31181087005540603,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,0.37719937578215507,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,0.39175311286484416,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,0.40363246419947163,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.01,0.405,avoided,6,9,"|3,1>","|4,1>",0.0023614132102238727,2.3614132102238727
